elapsed_s,raw_bass,smoothed_b,scaled_b,mean_history,kick_ratio_needed,drop_ratio_needed,is_kick,is_drop,beat_bpm
1.542,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.625,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.625,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.625,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.625,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.625,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.625,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.625,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.625,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.710,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.710,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.710,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.710,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.710,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.710,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.710,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.795,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.795,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.795,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.795,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.795,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.795,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.795,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.881,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.881,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.881,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.881,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.881,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.881,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.881,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.881,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.966,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.966,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.966,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.966,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.966,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.966,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
1.966,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.051,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.052,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.052,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.052,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.053,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.053,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.053,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.137,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.137,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.137,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.137,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.138,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.138,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.138,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
2.138,0.00000,0.00000,0,1.00,1.30,1.80,0,0,0.0
